,School System & School,# Tested,% Tested,Math Score,CR Score1,Writing Score3,M+CR2,M+CR+W3
579, West Mecklenburg High ,153,45.1,432,413,394,845,1239
592, Zebulon B. Vance High ,153,44.7,458,455,438,913,1351
690, Math And Science High School A ,   ,   ,   ,   ,   ,   ,   
691, Leadership And Public Service ,   ,   ,   ,   ,   ,   ,   
692, Finance School At Garinger ,   ,   ,   ,   ,   ,   ,   
693, Renaissance School At Olympic ,40,55.6,436,466,460,902,1362
694," Math, Engineering, Technology5",,,,,,,
695, Int Studies & Global Economics ,31,51.7,439,434,413,873,1286
696, Int Business & Communication S ,47,60.3,451,428,413,879,1292
697, Biotechnology  health  & Pub A ,39,72.2,467,464,468,931,1399
698, New Technology High School At ,   ,   ,   ,   ,   ,   ,   
699, Int Studies School Of Garinger ,4,NA,*,*,*,*,*
60C , Kennedy Charter ,19,20,309,304,317,613,930
60G , Queen's Grant Commun ,   ,   ,   ,   ,   ,   ,   
60H , Crossroads Charter H ,10,18.5,323,327,311,650,961
610, Mitchell County Schools ,68,51.9,488,499,483,987,1470
334, Mitchell High ,68,51.9,488,499,483,987,1470
620, Montgomery County Schools,119,46.5,463,429,422,892,1314
316, East Montgomery High ,47,48,443,413,404,856,1260
340, West Montgomery High ,71,55.5,477,441,435,918,1353
630, Moore County Schools ,368,53.4,539,506,487,1045,1532
332, North Moore High ,53,46.9,521,471,446,992,1438
336, Pinecrest High ,203,58.3,547,517,500,1064,1564
360, Union Pines High ,111,50.7,536,503,484,1039,1523
640, Nash-Rocky Mount Schools ,460,41.5,502,472,455,974,1429
346, Nash Central High ,120,46.2,491,454,431,945,1376
347, Nrm Early College High ,11,25.6,498,519,485,1017,1502
350, Northern Nash High ,136,49.1,504,470,463,974,1437
361, Rocky Mount High ,118,45.2,508,479,466,987,1453
364, Southern Nash Sr High ,75,29,510,486,459,996,1455
64A , Rocky Mount Preparat ,28,77.8,449,449,439,898,1337
650, New Hanover County Schools,805,53.8,531,507,491,1038,1529
326, Emsley A Laney High ,170,48.4,525,501,490,1026,1516
327, Eugene Ashley High ,172,53.4,515,505,474,1020,1494
340, Isaac Bear Middle College High ,   ,   ,   ,   ,   ,   ,   
342, John T Hoggard High ,284,68.8,556,527,511,1083,1594
352, New Hanover High ,178,50.1,511,486,475,997,1472
355, Mary S. Moseley Perf Learning ,1,3.3,*,*,*,*,*
660, Northampton County Schools,81,59.1,410,394,395,804,1199
336, Northampton High-East ,50,56.8,423,417,415,840,1255
700, Northampton High-West ,   ,   ,   ,   ,   ,   ,   
670, Onslow County Schools ,672,54.8,507,484,461,991,1452
320, Dixon High ,63,56.8,489,480,458,969,1427
324, Jacksonville High ,151,57,509,484,442,993,1435
333, Northside High School ,76,49.4,493,494,471,987,1458
340, Richlands High ,89,50,502,487,461,989,1450
344, Southwest High ,82,65.1,487,454,440,941,1381
352, Swansboro High ,77,43.5,528,506,485,1034,1519
364, White Oak High ,134,62.3,524,484,476,1008,1484
680, Orange County Schools,312,63.9,529,510,494,1039,1533
310, Cedar Ridge Hs ,169,68.7,545,532,520,1077,1597
332, Orange Senior High ,143,59.3,511,484,463,995,1458
68N , Pace Academy ,1,3,*,*,*,*,*
681, Chapel Hill-Carrboro Schools,678,83,598,581,572,1179,1751
305, Carbaro High School ,115,80.4,601,576,577,1177,1754
308, Chapel Hill High ,235,80.2,589,570,559,1159,1718
314, East Chapel Hill High ,328,86.3,603,592,579,1195,1774
338, Phoenix Academy High ,   ,   ,   ,   ,   ,   ,   
690, Pamlico County Schools,59,56.2,506,480,455,986,1441
320, Pamlico County High ,59,56.2,506,480,455,986,1441
700, Pasquotank County Schools ,166,46.8,465,461,443,926,1369
317, Northeastern High ,89,48.9,458,453,436,911,1347
319, Pasquotank County High ,77,48.1,473,469,451,942,1393
710, Pender County Schools ,227,42.4,494,470,455,964,1419
321, Heide Trask High ,65,39.9,467,426,422,893,1315
326, Pender High ,55,36.4,480,456,438,936,1374
327, Pender Early College High ,1,NA,*,*,*,*,*
342, Topsail High ,106,49.5,519,503,485,1022,1507
720, Perquimans County Schools ,37,38.9,478,445,429,923,1352
316, Perquimans Co High ,37,38.9,478,445,429,923,1352
730, Person County Schools,133,40.2,480,469,451,949,1400
352, Person High ,133,40.2,480,469,451,949,1400
740, Pitt County Schools ,676,55.4,509,482,464,991,1455
309, Ayden-Grifton High ,71,53.8,463,443,430,906,1336
333, D H Conley High ,124,50,531,493,473,1024,1497
344, Farmville Central High ,71,54.6,487,459,450,946,1396
366, J H Rose High ,191,57.9,532,513,488,1045,1533
374, North Pitt High ,90,55.2,482,450,430,932,1362
388, South Central High ,129,59.4,513,484,471,997,1468
750, Polk County Schools ,95,61.7,516,496,478,1012,1490
