,,School System & School,# Tested,% Tested,Math Score,CR Score1,Writing Score,M+CR2,M+CR+W3,,,, 
500,500,Jackson County ,92,55.8,510,503,481,1013,1494,,,,
,316,Blue Ridge School,14,58.3,448,469,435,917,1352,,,,
,340,Smoky Mountain High,78,55.3,522,509,489,1031,1520,,,,
510,510,Johnston County ,665,50.4,525,498,486,1023,1509,,,,
,324,Clayton High,213,64.2,533,501,492,1034,1526,,,,
,357,Johnston Middle Coll ,6,27.3,568,540,523,1108,1631,,,,
,368,North Johnston High,49,35,521,466,464,987,1451,,,,
,376,Princeton High,36,49.3,537,533,503,1070,1573,,,,
,399,Smithfield-Selma High,147,52.5,515,492,476,1007,1483,,,,
,402,South Johnston High,77,43.8,519,494,489,1013,1502,,,,
,406,West Johnston High,137,46.4,522,504,486,1026,1512,,,,
520,520,Jones County ,38,52.8,437,437,434,874,1308,,,,
,320,Jones Senior High,38,52.8,437,437,434,874,1308,,,,
530,530,Lee County ,230,48.5,519,485,478,1004,1482,,,,
,336,Lee County Sr High,226,47.7,520,484,478,1004,1482,,,,
,343,Southern Lee High ,*,*,*,*,*,*,*,,,,
,53A,Provisions Acad Charter,,,,,,,,,,,
540,540,Lenoir County ,263,49,500,473,453,973,1426,,,,
,315,Kinston High,117,62.9,478,461,439,939,1378,,,,
,324,North Lenoir High,86,46.5,521,483,456,1004,1460,,,,
,336,South Lenoir High,60,40.3,513,484,475,997,1472,,,,
550,550,Lincoln County ,354,47.8,516,481,470,997,1467,,,,
,320,East Lincoln High,102,61.8,517,482,465,999,1464,,,,
,332,Lincolnton High,65,37.8,511,482,475,993,1468,,,,
,344,North Lincoln High,115,61.8,526,485,478,1011,1489,,,,
,368,West Lincoln High,72,33.2,504,470,458,974,1432,,,,
55A,55A,Lincoln Charter,7,58.3,436,483,456,919,1375,,,,
560,560,Macon County ,149,63.9,506,502,474,1008,1482,,,,
,320,Franklin High,122,66.7,502,495,465,997,1462,,,,
,324,Highlands School,25,58.1,537,541,519,1078,1597,,,,
,332,Nantahala School,*,*,*,*,*,*,*,,,,
570,570,Madison County ,66,45.5,527,501,468,1028,1496,,,,
,318,Madison High,66,45.5,527,501,468,1028,1496,,,,
580,580,Martin County ,143,51.1,498,466,461,964,1425,,,,
,304,Bear Grass High,19,51.4,539,496,474,1035,1509,,,,
,328,Jamesville High,17,48.6,513,484,481,997,1478,,,,
,344,Roanoke High,37,48.1,474,447,439,921,1360,,,,
,368,Williamston High,70,53.4,496,464,464,960,1424,,,,
